Age,Gender,Marital_Status,Dependents,Education_Level,Employment_Type,Company_Type,Work_Experience_Years,Monthly_Income,Annual_Income,Existing_Loans,Existing_EMI,Credit_Score,Credit_History,Bank_Balance,Loan_Amount_Requested,Loan_Purpose,Loan_Term_Years,Interest_Rate,Loan_Status
59,Female,Married,4,Graduate,Salaried,Government,16,156480,1334296,3,49727,792,Good,1511567,140366,Car,12,13.06,1
52,Male,Married,3,High School,Self Employed,Government,31,180780,3004556,3,4428,812,Bad,4556380,944008,Personal,27,9.79,1
24,Male,Married,0,Graduate,Self Employed,Business,16,66977,3594226,0,11134,788,Bad,4690719,4074806,Car,25,11.53,1
50,Male,Single,5,Post Graduate,Salaried,Business,33,236522,969140,3,37096,704,Good,3667104,3261912,Home,6,9.62,1
57,Male,Married,3,Graduate,Self Employed,Business,6,178107,2122946,2,21874,827,Bad,2760970,2488613,Home,20,11.1,1
43,Female,Single,3,Post Graduate,Self Employed,Private,28,138266,241310,3,35680,515,Good,2364391,3235913,Business,17,16.51,0
59,Male,Married,2,High School,Self Employed,Government,16,279811,3043070,1,42951,894,Bad,4603095,2542086,Car,18,14.64,1
35,Female,Single,2,Graduate,Self Employed,Private,23,212742,1997173,3,44239,390,Good,596391,4457695,Personal,16,10.68,0
49,Male,Single,0,High School,Self Employed,Government,7,291937,2752208,4,11126,539,Good,234767,3543495,Car,15,16.4,0
56,Male,Married,3,High School,Salaried,Business,22,136963,998966,3,12582,428,Good,59218,485655,Personal,9,7.57,0
33,Male,Single,2,Post Graduate,Salaried,Private,32,237517,1905254,1,19151,441,Good,1520615,614388,Personal,27,14.76,1
52,Female,Single,4,Post Graduate,Self Employed,Private,28,159552,2553665,1,37676,630,Bad,3375910,149490,Home,3,13.89,1
27,Male,Married,4,High School,Self Employed,Private,18,222079,3019524,3,28812,555,Good,3720420,3496122,Business,17,11.12,0
42,Female,Married,4,Post Graduate,Self Employed,Business,4,40563,1729288,2,38803,386,Good,1145379,2461157,Home,26,11.54,0
48,Female,Single,4,Post Graduate,Salaried,Private,22,282677,2616988,3,31801,602,Bad,900946,2818714,Car,16,11.17,0
22,Male,Single,3,High School,Self Employed,Private,25,26268,3243554,0,914,895,Good,1225826,1971631,Education,22,14.05,1
26,Female,Single,4,High School,Self Employed,Business,23,249556,1730082,1,43210,416,Good,3970957,1818481,Education,6,9.62,1
48,Male,Married,3,Post Graduate,Self Employed,Government,20,179212,710813,3,33626,555,Good,3802896,1175458,Personal,13,17.94,0
48,Female,Single,0,High School,Self Employed,Private,32,229265,1838734,2,17103,837,Good,2076836,1569421,Home,14,7.03,1
40,Male,Single,0,High School,Salaried,Business,25,290107,1126300,2,29004,573,Good,4156737,664153,Education,1,12.12,1
50,Female,Married,4,Post Graduate,Self Employed,Private,9,266723,2616088,2,16530,463,Good,4368665,612060,Business,4,9.52,1
31,Female,Married,4,Graduate,Self Employed,Private,28,190760,470474,4,22493,521,Good,309292,1794242,Car,19,10.9,0
48,Male,Married,4,Graduate,Self Employed,Government,34,48092,3084132,4,13622,736,Good,4484091,1853763,Personal,20,16.49,0
45,Male,Married,0,High School,Self Employed,Business,27,125688,2719416,4,6906,495,Good,1820571,1071447,Car,2,10.93,0
59,Male,Married,2,Post Graduate,Self Employed,Government,11,121460,2845167,0,3446,638,Good,136556,4212036,Personal,6,9.35,1
53,Male,Single,0,High School,Self Employed,Government,6,186680,2256503,0,38544,361,Good,2386644,3296549,Home,5,11.04,1
21,Female,Single,4,Post Graduate,Self Employed,Business,15,117768,3178674,3,41917,496,Good,1312739,524367,Education,7,10.52,0
47,Female,Single,2,High School,Salaried,Government,19,173094,373955,4,23517,437,Good,1590620,2280544,Personal,7,12.59,0
33,Female,Married,2,High School,Self Employed,Private,28,89434,2016507,4,8156,406,Good,4721938,2481015,Personal,10,16.9,0
23,Female,Married,1,Post Graduate,Salaried,Business,34,119783,2212981,0,11067,342,Bad,4813494,433209,Home,7,14.66,1
59,Male,Married,3,High School,Salaried,Business,27,270562,2235242,2,37761,374,Good,1766728,3887232,Business,23,16.35,1
26,Female,Single,4,Graduate,Self Employed,Private,6,67392,729017,2,10289,350,Good,4962828,2088333,Car,5,10.31,1
28,Male,Married,3,Graduate,Self Employed,Private,21,27651,2212703,1,35823,302,Good,947744,1103232,Education,3,7.33,0
47,Female,Married,1,Post Graduate,Self Employed,Private,13,299504,2747076,3,41026,352,Good,499568,867525,Car,28,10.98,0
29,Male,Married,3,High School,Salaried,Government,9,220035,899433,3,46995,723,Good,898079,889461,Education,27,14.78,1
57,Male,Single,4,Graduate,Salaried,Government,1,115079,2963570,4,9216,605,Good,562941,2828916,Business,6,10.04,0
53,Male,Married,1,Post Graduate,Salaried,Government,21,114011,2425700,0,2180,310,Bad,322383,3614558,Home,8,10.04,1
44,Male,Married,3,Post Graduate,Self Employed,Government,15,193688,779044,3,19808,749,Good,1334035,1678471,Personal,18,8.02,1
35,Male,Single,0,Post Graduate,Self Employed,Government,34,243733,2060056,2,39293,449,Good,3353685,2083542,Education,17,9.29,1
52,Female,Married,2,Graduate,Salaried,Government,10,79004,3424451,0,48038,660,Bad,4381918,4335554,Home,23,15.06,1
52,Male,Married,1,Graduate,Salaried,Business,32,227512,1965847,4,9814,874,Good,1187719,1973653,Education,21,12.58,1
44,Female,Married,0,Graduate,Self Employed,Business,33,268216,1809571,4,37886,414,Good,1921438,1545440,Education,1,7.74,0
32,Female,Single,4,Graduate,Salaried,Business,32,25483,1040897,3,49219,894,Good,1573932,2466512,Personal,19,17.97,0
59,Male,Married,2,High School,Salaried,Business,18,126686,1691810,3,25448,884,Bad,4850659,3347065,Home,5,13.24,1
22,Female,Married,1,Graduate,Salaried,Business,19,280857,2082951,1,4192,880,Good,2478383,2921653,Car,10,8.71,1
23,Female,Single,2,Post Graduate,Salaried,Business,9,59613,3307592,3,25049,412,Bad,3040005,2176704,Personal,10,7.53,0
57,Female,Single,5,High School,Salaried,Government,18,32755,975419,3,35613,314,Good,926512,292275,Car,24,13.13,0
37,Male,Married,5,Graduate,Salaried,Business,11,158678,2081021,2,11008,660,Good,1828879,1903937,Car,28,9.78,1
22,Male,Single,1,High School,Salaried,Private,9,191891,1158375,2,41552,512,Good,70514,1621240,Personal,2,9.76,0
22,Male,Married,1,Post Graduate,Self Employed,Business,6,99562,1791881,0,22511,409,Good,4456034,3990089,Business,11,12.45,1
48,Male,Single,3,Graduate,Salaried,Private,10,105033,3382500,3,25906,709,Good,2180112,322039,Business,4,12.11,1
43,Female,Married,2,High School,Self Employed,Private,15,115340,905774,3,45891,620,Bad,1684154,2184521,Personal,28,10.96,0
57,Female,Married,5,Graduate,Self Employed,Business,32,189585,2465310,4,16969,425,Bad,4297285,2310472,Business,23,15.9,0
52,Female,Married,5,High School,Salaried,Government,16,70308,353907,2,23727,647,Good,589629,4564752,Personal,7,11.4,1
53,Female,Single,2,High School,Self Employed,Government,24,163869,663964,4,10548,820,Good,2924584,4135847,Education,15,11.93,1
21,Female,Single,5,Post Graduate,Salaried,Private,30,290498,1934873,3,43366,453,Good,316824,706746,Home,23,13.91,0
39,Female,Married,0,Post Graduate,Self Employed,Government,0,57167,2997214,2,23329,760,Bad,2206381,4683051,Personal,3,14.86,1
22,Male,Married,5,Graduate,Self Employed,Private,19,39178,2091393,3,28885,816,Good,2701500,3573734,Home,11,11.09,0
46,Female,Married,5,Graduate,Salaried,Government,8,148153,2302670,1,30195,864,Good,3957190,161344,Education,7,12.73,1
52,Female,Married,4,High School,Self Employed,Government,1,29068,3068748,4,19966,706,Bad,2376265,1476087,Education,2,12.52,0
26,Female,Single,0,Post Graduate,Salaried,Government,0,123850,3237851,2,17237,519,Good,4350763,2807948,Business,10,16.67,0
52,Male,Single,3,Post Graduate,Self Employed,Government,4,59661,523021,2,134,784,Good,4527613,1989472,Car,16,11.59,1
24,Female,Married,1,High School,Salaried,Business,11,149630,1185483,3,43046,390,Bad,2680689,103789,Business,5,12.07,0
31,Female,Single,5,Post Graduate,Salaried,Business,13,130225,1384334,3,21284,767,Good,483985,3355855,Home,12,13.33,1
37,Male,Single,3,Post Graduate,Self Employed,Business,31,203089,2583508,0,15798,527,Good,2365220,1287339,Business,18,14.32,1
58,Female,Single,3,High School,Salaried,Private,8,108405,3343611,0,22798,377,Good,3845561,3997671,Car,28,7.01,1
44,Male,Married,0,Graduate,Salaried,Business,32,116417,1999605,4,49874,474,Good,4208009,4647231,Education,8,14.17,0
25,Male,Married,1,Graduate,Self Employed,Business,24,110151,1945725,2,40804,753,Good,3522293,4657967,Business,4,8.67,1
54,Female,Single,4,Graduate,Salaried,Business,13,118328,751708,3,383,308,Good,2400338,376437,Home,17,17.74,0
26,Female,Single,3,High School,Self Employed,Government,8,207676,2117752,4,612,502,Good,2048731,3656078,Personal,29,10.94,0
42,Male,Married,4,Graduate,Self Employed,Government,26,179701,3114412,2,21181,609,Good,1611842,1603884,Education,9,12.3,1
31,Female,Married,1,High School,Self Employed,Government,18,177762,735586,3,4721,502,Good,1605561,383235,Business,14,7.75,0
36,Female,Married,1,High School,Salaried,Government,24,46926,2309294,0,13635,814,Good,1298480,2655365,Home,8,16.59,1
53,Male,Single,0,Post Graduate,Self Employed,Government,31,273143,1589139,2,40045,645,Good,2276592,2193487,Car,29,9.72,1
29,Male,Single,2,Post Graduate,Salaried,Business,21,130696,897531,3,32689,732,Good,916568,4546736,Home,9,10.37,1
26,Female,Single,5,Graduate,Self Employed,Business,28,193488,2071141,4,39996,869,Good,3548754,4344443,Home,6,13.83,1
36,Male,Married,0,High School,Self Employed,Government,27,214156,351950,4,42776,665,Good,737645,4919694,Education,9,7.08,1
49,Female,Married,4,Graduate,Self Employed,Government,12,242257,432511,1,155,771,Good,1725220,4391890,Education,20,17.9,1
23,Female,Married,0,Graduate,Salaried,Business,27,62195,778744,2,29163,437,Good,3380093,739804,Personal,20,12.58,1
40,Female,Married,1,Post Graduate,Self Employed,Business,2,155556,3343999,4,45777,802,Good,1553385,2458586,Business,9,16.18,0
56,Female,Married,3,Graduate,Salaried,Government,29,125740,1884235,2,13039,680,Good,2888014,3408268,Business,11,16.98,1
39,Male,Single,5,Graduate,Salaried,Private,10,230110,2280324,4,17399,337,Good,2507858,443995,Home,22,7.0,0
46,Female,Single,5,Post Graduate,Salaried,Government,1,187206,2091705,2,28962,776,Good,519336,3840417,Business,9,11.71,1
23,Male,Single,2,Graduate,Salaried,Business,8,164323,782032,2,44265,881,Good,2767310,4828087,Education,13,16.79,1
39,Female,Married,1,Graduate,Salaried,Private,32,54832,3142092,2,7925,819,Good,1545782,1252592,Education,27,14.62,1
40,Female,Single,5,High School,Self Employed,Government,25,51975,535739,1,7604,516,Good,4922044,4534823,Business,27,15.13,1
52,Male,Married,5,Graduate,Salaried,Business,15,39810,1167843,0,41126,368,Good,2648714,1517822,Car,30,13.07,0
27,Female,Single,3,Post Graduate,Self Employed,Business,24,283160,1566799,2,1338,629,Good,1794238,3523069,Business,6,17.74,1
53,Male,Single,4,Post Graduate,Self Employed,Business,0,83055,850599,0,38976,578,Bad,2679183,3448581,Home,1,8.14,0
60,Male,Married,4,High School,Salaried,Government,20,267777,1849410,0,38254,684,Good,1686270,1864982,Education,29,16.57,1
59,Female,Single,4,Post Graduate,Self Employed,Government,19,31615,2758707,0,31360,400,Good,3220782,3384500,Personal,21,14.46,0
38,Female,Single,0,Post Graduate,Self Employed,Private,4,109568,956033,4,49271,894,Good,1156266,3012258,Education,22,13.03,1
60,Female,Single,4,Post Graduate,Salaried,Business,16,251801,1172824,3,23272,389,Good,3481205,1058505,Personal,26,14.36,0
21,Female,Single,4,Graduate,Salaried,Business,0,57264,865346,0,27629,743,Good,3671726,157845,Business,6,15.63,1
31,Male,Single,0,High School,Self Employed,Private,12,115823,2528138,2,10258,349,Good,1850239,1167091,Home,1,9.04,1
48,Female,Single,3,High School,Salaried,Government,17,56602,2309622,3,25263,356,Good,908905,4155785,Home,10,9.43,0
45,Female,Single,1,High School,Salaried,Business,3,174815,559882,4,5552,749,Good,3713953,3968245,Home,5,9.69,1
43,Female,Married,5,High School,Self Employed,Private,13,212467,692080,1,14536,746,Good,2172760,1363485,Car,1,10.81,1
